index orbit1 orbit2 r3 r2 r1 tau
226 1 1 0 0 10 15
227 1 1 0 0 10 16
228 1 1 0 0 10 17
229 1 1 0 0 10 18
230 1 1 0 0 10 19
231 1 1 0 0 10 20
232 1 1 0 0 11 0
233 1 1 0 0 11 1
234 1 1 0 0 11 2
235 1 1 0 0 11 3
236 1 1 0 0 11 4
237 1 1 0 0 11 5
238 1 1 0 0 11 6
239 1 1 0 0 11 7
240 1 1 0 0 11 8
241 1 1 0 0 11 9
242 1 1 0 0 11 10
243 1 1 0 0 11 11
244 1 1 0 0 11 12
245 1 1 0 0 11 13
246 1 1 0 0 11 14
247 1 1 0 0 11 15
248 1 1 0 0 11 16
249 1 1 0 0 11 17
250 1 1 0 0 11 18
251 1 1 0 0 11 19
252 1 1 0 0 11 20
253 1 1 0 1 0 0
254 1 1 0 1 0 1
255 1 1 0 1 0 2
256 1 1 0 1 0 3
257 1 1 0 1 0 4
258 1 1 0 1 0 5
259 1 1 0 1 0 6
260 1 1 0 1 0 7
261 1 1 0 1 0 8
262 1 1 0 1 0 9
263 1 1 0 1 0 10
264 1 1 0 1 0 11
265 1 1 0 1 0 12
266 1 1 0 1 0 13
267 1 1 0 1 0 14
268 1 1 0 1 0 15
269 1 1 0 1 0 16
270 1 1 0 1 0 17
271 1 1 0 1 0 18
272 1 1 0 1 0 19
273 1 1 0 1 0 20
274 1 1 0 1 1 0
275 1 1 0 1 1 1
276 1 1 0 1 1 2
277 1 1 0 1 1 3
278 1 1 0 1 1 4
279 1 1 0 1 1 5
280 1 1 0 1 1 6
281 1 1 0 1 1 7
282 1 1 0 1 1 8
283 1 1 0 1 1 9
284 1 1 0 1 1 10
285 1 1 0 1 1 11
286 1 1 0 1 1 12
287 1 1 0 1 1 13
288 1 1 0 1 1 14
289 1 1 0 1 1 15
290 1 1 0 1 1 16
291 1 1 0 1 1 17
292 1 1 0 1 1 18
293 1 1 0 1 1 19
294 1 1 0 1 1 20
295 1 1 0 1 2 0
296 1 1 0 1 2 1
297 1 1 0 1 2 2
298 1 1 0 1 2 3
299 1 1 0 1 2 4
300 1 1 0 1 2 5
301 1 1 0 1 2 6
302 1 1 0 1 2 7
303 1 1 0 1 2 8
304 1 1 0 1 2 9
305 1 1 0 1 2 10
306 1 1 0 1 2 11
307 1 1 0 1 2 12
308 1 1 0 1 2 13
309 1 1 0 1 2 14
310 1 1 0 1 2 15
311 1 1 0 1 2 16
312 1 1 0 1 2 17
313 1 1 0 1 2 18
314 1 1 0 1 2 19
315 1 1 0 1 2 20
316 1 1 0 1 3 0
317 1 1 0 1 3 1
318 1 1 0 1 3 2
319 1 1 0 1 3 3
320 1 1 0 1 3 4
321 1 1 0 1 3 5
322 1 1 0 1 3 6
323 1 1 0 1 3 7
324 1 1 0 1 3 8
325 1 1 0 1 3 9
326 1 1 0 1 3 10
327 1 1 0 1 3 11
328 1 1 0 1 3 12
329 1 1 0 1 3 13
330 1 1 0 1 3 14
331 1 1 0 1 3 15
332 1 1 0 1 3 16
333 1 1 0 1 3 17
334 1 1 0 1 3 18
335 1 1 0 1 3 19
336 1 1 0 1 3 20
337 1 1 0 1 4 0
338 1 1 0 1 4 1
339 1 1 0 1 4 2
340 1 1 0 1 4 3
341 1 1 0 1 4 4
342 1 1 0 1 4 5
343 1 1 0 1 4 6
344 1 1 0 1 4 7
345 1 1 0 1 4 8
346 1 1 0 1 4 9
347 1 1 0 1 4 10
348 1 1 0 1 4 11
349 1 1 0 1 4 12
350 1 1 0 1 4 13
351 1 1 0 1 4 14
352 1 1 0 1 4 15
353 1 1 0 1 4 16
354 1 1 0 1 4 17
355 1 1 0 1 4 18
356 1 1 0 1 4 19
357 1 1 0 1 4 20
358 1 1 0 1 5 0
359 1 1 0 1 5 1
360 1 1 0 1 5 2
361 1 1 0 1 5 3
362 1 1 0 1 5 4
363 1 1 0 1 5 5
364 1 1 0 1 5 6
365 1 1 0 1 5 7
366 1 1 0 1 5 8
367 1 1 0 1 5 9
368 1 1 0 1 5 10
369 1 1 0 1 5 11
370 1 1 0 1 5 12
371 1 1 0 1 5 13
372 1 1 0 1 5 14
373 1 1 0 1 5 15
374 1 1 0 1 5 16
375 1 1 0 1 5 17
376 1 1 0 1 5 18
377 1 1 0 1 5 19
378 1 1 0 1 5 20
379 1 1 0 1 6 0
380 1 1 0 1 6 1
381 1 1 0 1 6 2
382 1 1 0 1 6 3
383 1 1 0 1 6 4
384 1 1 0 1 6 5
385 1 1 0 1 6 6
386 1 1 0 1 6 7
387 1 1 0 1 6 8
388 1 1 0 1 6 9
389 1 1 0 1 6 10
390 1 1 0 1 6 11
391 1 1 0 1 6 12
392 1 1 0 1 6 13
393 1 1 0 1 6 14
394 1 1 0 1 6 15
395 1 1 0 1 6 16
396 1 1 0 1 6 17
397 1 1 0 1 6 18
398 1 1 0 1 6 19
399 1 1 0 1 6 20
400 1 1 0 1 7 0
401 1 1 0 1 7 1
402 1 1 0 1 7 2
403 1 1 0 1 7 3
404 1 1 0 1 7 4
405 1 1 0 1 7 5
406 1 1 0 1 7 6
407 1 1 0 1 7 7
408 1 1 0 1 7 8
409 1 1 0 1 7 9
410 1 1 0 1 7 10
411 1 1 0 1 7 11
412 1 1 0 1 7 12
413 1 1 0 1 7 13
414 1 1 0 1 7 14
415 1 1 0 1 7 15
416 1 1 0 1 7 16
417 1 1 0 1 7 17
418 1 1 0 1 7 18
419 1 1 0 1 7 19
420 1 1 0 1 7 20
421 1 1 0 1 8 0
422 1 1 0 1 8 1
423 1 1 0 1 8 2
424 1 1 0 1 8 3
425 1 1 0 1 8 4
426 1 1 0 1 8 5
427 1 1 0 1 8 6
428 1 1 0 1 8 7
429 1 1 0 1 8 8
430 1 1 0 1 8 9
431 1 1 0 1 8 10
432 1 1 0 1 8 11
433 1 1 0 1 8 12
434 1 1 0 1 8 13
435 1 1 0 1 8 14
436 1 1 0 1 8 15
437 1 1 0 1 8 16
438 1 1 0 1 8 17
439 1 1 0 1 8 18
440 1 1 0 1 8 19
441 1 1 0 1 8 20
442 1 1 0 1 9 0
443 1 1 0 1 9 1
444 1 1 0 1 9 2
445 1 1 0 1 9 3
446 1 1 0 1 9 4
447 1 1 0 1 9 5
448 1 1 0 1 9 6
449 1 1 0 1 9 7
450 1 1 0 1 9 8
451 1 1 0 1 9 9
452 1 1 0 1 9 10
453 1 1 0 1 9 11
