L3 L2 L1 orbit tau x
0 1 5 1 5 1.031089
0 1 5 1 6 0.731613
0 1 5 1 7 0.909351
0 1 5 1 8 0.968104
0 1 5 1 9 1.045053
0 1 5 1 10 0.853551
0 1 5 1 11 0.646575
0 1 5 1 12 0.977290
0 1 5 1 13 0.734250
0 1 5 1 14 0.744004
0 1 5 1 15 0.793685
0 1 5 1 16 0.914546
0 1 5 1 17 0.743035
0 1 5 1 18 0.665312
0 1 5 1 19 0.620925
0 1 5 1 20 0.472996
0 1 6 1 1 0.641029
0 1 6 1 2 0.720995
0 1 6 1 3 0.839722
0 1 6 1 4 0.670517
0 1 6 1 5 0.587984
0 1 6 1 6 0.507803
0 1 6 1 7 0.581119
0 1 6 1 8 0.269333
0 1 6 1 9 -0.213198
0 1 6 1 10 -0.299542
0 1 6 1 11 -0.175750
0 1 6 1 12 0.092098
0 1 6 1 13 0.000895
0 1 6 1 14 0.219467
0 1 6 1 15 0.234084
0 1 6 1 16 0.252082
0 1 6 1 17 0.531897
0 1 6 1 18 0.510666
0 1 6 1 19 0.521806
0 1 6 1 20 0.497910
0 1 7 1 1 -0.742084
0 1 7 1 2 -0.700749
0 1 7 1 3 -0.817253
0 1 7 1 4 -0.442116
0 1 7 1 5 -0.636289
0 1 7 1 6 -0.684405
0 1 7 1 7 -0.619541
0 1 7 1 8 -0.749234
0 1 7 1 9 -0.369434
0 1 7 1 10 -0.262842
0 1 7 1 11 -0.011990
0 1 7 1 12 -0.137565
0 1 7 1 13 -0.203866
0 1 7 1 14 0.031707
0 1 7 1 15 -0.162285
0 1 7 1 16 -0.265956
0 1 7 1 17 -0.107936
0 1 7 1 18 -0.678621
0 1 7 1 19 -0.655920
0 1 7 1 20 -0.559446
0 1 8 1 1 -0.412043
0 1 8 1 2 -0.141604
0 1 8 1 3 -0.079730
0 1 8 1 4 0.063946
0 1 8 1 5 -0.397905
0 1 8 1 6 -0.387844
0 1 8 1 7 -0.570377
0 1 8 1 8 -0.682040
0 1 8 1 9 -0.687887
0 1 8 1 10 -0.857249
0 1 8 1 11 -1.057836
0 1 8 1 12 -0.735771
0 1 8 1 13 -0.970028
0 1 8 1 14 -0.841939
0 1 8 1 15 -0.676305
0 1 8 1 16 -0.213230
0 1 8 1 17 -0.101783
0 1 8 1 18 -0.189406
0 1 8 1 19 -0.564510
0 1 8 1 20 -0.335711
0 1 9 1 1 2.425227
0 1 9 1 2 2.685451
0 1 9 1 3 2.752129
0 1 9 1 4 2.500976
0 1 9 1 5 2.785219
0 1 9 1 6 2.600573
0 1 9 1 7 2.613031
0 1 9 1 8 3.044420
0 1 9 1 9 2.814034
0 1 9 1 10 2.918071
0 1 9 1 11 2.593406
0 1 9 1 12 2.763622
0 1 9 1 13 2.865919
0 1 9 1 14 2.582329
0 1 9 1 15 2.464170
0 1 9 1 16 2.609056
0 1 9 1 17 2.274587
0 1 9 1 18 2.293518
0 1 9 1 19 2.183441
0 1 9 1 20 2.349589
0 1 10 1 1 -0.219915
0 1 10 1 2 -0.194282
0 1 10 1 3 0.280718
0 1 10 1 4 0.502444
0 1 10 1 5 0.334206
0 1 10 1 6 0.485672
0 1 10 1 7 0.760820
0 1 10 1 8 0.747513
0 1 10 1 9 0.526671
0 1 10 1 10 0.743463
0 1 10 1 11 0.487017
0 1 10 1 12 0.721854
0 1 10 1 13 0.788879
0 1 10 1 14 0.477055
0 1 10 1 15 0.379751
0 1 10 1 16 0.033694
0 1 10 1 17 -0.132274
0 1 10 1 18 -0.270770
0 1 10 1 19 -0.323210
0 1 10 1 20 -0.329534
0 1 11 1 1 -0.933010
0 1 11 1 2 -1.002944
0 1 11 1 3 -0.984203
0 1 11 1 4 -1.167654
0 1 11 1 5 -1.345314
0 1 11 1 6 -1.243079
0 1 11 1 7 -1.087693
0 1 11 1 8 -1.202018
0 1 11 1 9 -0.976151
0 1 11 1 10 -1.162832
0 1 11 1 11 -1.315424
0 1 11 1 12 -1.151012
0 1 11 1 13 -1.264980
0 1 11 1 14 -0.960902
0 1 11 1 15 -1.159802
0 1 11 1 16 -1.264825
0 1 11 1 17 -1.423074
0 1 11 1 18 -1.110053
0 1 11 1 19 -0.942798
0 1 11 1 20 -0.990670
0 2 0 1 1 1.672617
0 2 0 1 2 1.353885
0 2 0 1 3 1.720865
0 2 0 1 4 1.536884
0 2 0 1 5 1.277690
0 2 0 1 6 1.292843
0 2 0 1 7 1.708087
0 2 0 1 8 1.594427
0 2 0 1 9 1.900517
0 2 0 1 10 2.227745
0 2 0 1 11 2.389903
0 2 0 1 12 2.171440
0 2 0 1 13 1.843496
0 2 0 1 14 1.809242
0 2 0 1 15 1.745479
0 2 0 1 16 1.658734
0 2 0 1 17 1.693103
0 2 0 1 18 1.606895
0 2 0 1 19 1.632125
0 2 0 1 20 1.431735
0 2 1 1 1 -0.416742
0 2 1 1 2 -0.422080
0 2 1 1 3 -0.263332
0 2 1 1 4 -0.157482
0 2 1 1 5 -0.352984
0 2 1 1 6 -0.291715
0 2 1 1 7 0.022287
0 2 1 1 8 -0.060283
0 2 1 1 9 -0.243635
0 2 1 1 10 -0.508672
0 2 1 1 11 -0.591514
0 2 1 1 12 -0.640291
0 2 1 1 13 -0.885899
0 2 1 1 14 -0.994433
0 2 1 1 15 -0.654027
0 2 1 1 16 -0.712162
0 2 1 1 17 -0.505117
0 2 1 1 18 -0.217291
0 2 1 1 19 0.076030
0 2 1 1 20 0.132410
0 2 2 1 1 1.520870
0 2 2 1 2 1.492430
0 2 2 1 3 1.303093
0 2 2 1 4 1.587794
0 2 2 1 5 1.392168
0 2 2 1 6 1.381197
0 2 2 1 7 1.329707
0 2 2 1 8 1.331079
0 2 2 1 9 1.421419
0 2 2 1 10 1.161936
0 2 2 1 11 1.148943
0 2 2 1 12 1.194769
0 2 2 1 13 1.352300
0 2 2 1 14 1.209108
0 2 2 1 15 1.333694
0 2 2 1 16 1.265800
0 2 2 1 17 1.258457
0 2 2 1 18 1.212540
0 2 2 1 19 1.318664
0 2 2 1 20 1.519557
0 2 3 1 1 -2.129961
0 2 3 1 2 -1.785730
0 2 3 1 3 -1.772904
0 2 3 1 4 -1.753322
0 2 3 1 5 -1.862985
0 2 3 1 6 -1.675271
0 2 3 1 7 -1.558476
0 2 3 1 8 -1.715493
0 2 3 1 9 -1.797550
0 2 3 1 10 -1.946826
0 2 3 1 11 -2.220975
0 2 3 1 12 -1.774163
0 2 3 1 13 -1.856022
0 2 3 1 14 -2.062412
0 2 3 1 15 -2.170006
0 2 3 1 16 -2.454886
0 2 3 1 17 -2.490717
0 2 3 1 18 -2.395229
0 2 3 1 19 -2.353056
0 2 3 1 20 -2.090326
0 2 4 1 1 -0.127676
0 2 4 1 2 -0.106581
0 2 4 1 3 -0.476380
0 2 4 1 4 -0.107285
0 2 4 1 5 0.016937
0 2 4 1 6 0.140525
0 2 4 1 7 0.001867
0 2 4 1 8 -0.230354
0 2 4 1 9 -0.040641
0 2 4 1 10 0.147240
0 2 4 1 11 0.644424
0 2 4 1 12 0.323919
0 2 4 1 13 0.133174
0 2 4 1 14 0.220708
0 2 4 1 15 0.302659
0 2 4 1 16 0.108258
0 2 4 1 17 0.203867
