orbit1 orbit2 k3 k2 k1 tau DenDen error
1 1 0 0 11 17 0.41220657 0.00528998
1 1 0 0 11 18 0.41576579 0.00512867
1 1 0 0 11 19 0.41313315 0.00600886
1 1 0 0 11 20 0.41963790 0.00507708
1 1 0 1 0 0 0.43357939 0.00413671
1 1 0 1 0 1 0.43670356 0.00437372
1 1 0 1 0 2 0.43119073 0.00592916
1 1 0 1 0 3 0.43032509 0.00396721
1 1 0 1 0 4 0.43149946 0.00689739
1 1 0 1 0 5 0.42543975 0.00342054
1 1 0 1 0 6 0.41981020 0.00480576
1 1 0 1 0 7 0.41951968 0.00454199
1 1 0 1 0 8 0.41147778 0.00562859
1 1 0 1 0 9 0.41566969 0.00534249
1 1 0 1 0 10 0.41689880 0.00430411
1 1 0 1 0 11 0.41562351 0.00663343
1 1 0 1 0 12 0.42620886 0.00432317
1 1 0 1 0 13 0.41974956 0.00500527
1 1 0 1 0 14 0.41711498 0.00463717
1 1 0 1 0 15 0.42408967 0.00384384
1 1 0 1 0 16 0.43082602 0.00435292
1 1 0 1 0 17 0.42912586 0.00385889
1 1 0 1 0 18 0.42687387 0.00507938
1 1 0 1 0 19 0.43597738 0.00332859
1 1 0 1 0 20 0.43357939 0.00413671
1 1 0 1 1 0 0.44685879 0.00593359
1 1 0 1 1 1 0.44058025 0.00672452
1 1 0 1 1 2 0.44003298 0.00751217
1 1 0 1 1 3 0.42890990 0.00788795
1 1 0 1 1 4 0.42723430 0.00503689
1 1 0 1 1 5 0.42442809 0.00516409
1 1 0 1 1 6 0.42930611 0.00581317
1 1 0 1 1 7 0.42711514 0.00602756
1 1 0 1 1 8 0.42361299 0.00647756
1 1 0 1 1 9 0.42031029 0.00476946
1 1 0 1 1 10 0.42424017 0.00487136
1 1 0 1 1 11 0.42284586 0.00541711
1 1 0 1 1 12 0.40913873 0.00775535
1 1 0 1 1 13 0.42567639 0.00719204
1 1 0 1 1 14 0.42602320 0.00932255
1 1 0 1 1 15 0.42620281 0.00523028
1 1 0 1 1 16 0.42823118 0.00635519
1 1 0 1 1 17 0.43199649 0.00402267
1 1 0 1 1 18 0.43593946 0.00520660
1 1 0 1 1 19 0.43715466 0.00458302
1 1 0 1 1 20 0.44685879 0.00593359
1 1 0 1 2 0 0.47968680 0.00458092
1 1 0 1 2 1 0.46655587 0.00354438
1 1 0 1 2 2 0.45260787 0.00382437
1 1 0 1 2 3 0.44548134 0.00331659
1 1 0 1 2 4 0.44070012 0.00656659
1 1 0 1 2 5 0.42946372 0.00386915
1 1 0 1 2 6 0.42368996 0.00349968
1 1 0 1 2 7 0.42012647 0.00517262
1 1 0 1 2 8 0.41244241 0.00500202
1 1 0 1 2 9 0.41534546 0.00651684
1 1 0 1 2 10 0.42009582 0.00566761
