orbit1 orbit2 r3 r2 r1 tau DenDen error
1 1 0 0 11 19 0.95457349 0.00246751
1 1 0 0 11 20 0.94491662 0.00272934
1 1 0 1 0 0 0.94507641 0.00282806
1 1 0 1 0 1 0.95637721 0.00220653
1 1 0 1 0 2 0.96423898 0.00272975
1 1 0 1 0 3 0.97000605 0.00253720
1 1 0 1 0 4 0.97360117 0.00257950
1 1 0 1 0 5 0.97760824 0.00244199
1 1 0 1 0 6 0.97947760 0.00289901
1 1 0 1 0 7 0.98133105 0.00246456
1 1 0 1 0 8 0.98192645 0.00242906
1 1 0 1 0 9 0.98176466 0.00254550
1 1 0 1 0 10 0.98362860 0.00254190
1 1 0 1 0 11 0.98334916 0.00264963
1 1 0 1 0 12 0.98297944 0.00258834
1 1 0 1 0 13 0.98044297 0.00249704
1 1 0 1 0 14 0.97901605 0.00223608
1 1 0 1 0 15 0.97763714 0.00261017
1 1 0 1 0 16 0.97398727 0.00200590
1 1 0 1 0 17 0.96912488 0.00270678
1 1 0 1 0 18 0.96270489 0.00261618
1 1 0 1 0 19 0.95518297 0.00238728
1 1 0 1 0 20 0.94507641 0.00282806
1 1 0 1 1 0 1.00331224 0.00268040
1 1 0 1 1 1 1.00190669 0.00255394
1 1 0 1 1 2 1.00374275 0.00215107
1 1 0 1 1 3 1.00461723 0.00235870
1 1 0 1 1 4 1.00537645 0.00268410
1 1 0 1 1 5 1.00578573 0.00264623
1 1 0 1 1 6 1.00607038 0.00270577
1 1 0 1 1 7 1.00606063 0.00241020
1 1 0 1 1 8 1.00712963 0.00247700
1 1 0 1 1 9 1.00754608 0.00241449
1 1 0 1 1 10 1.00595626 0.00254887
1 1 0 1 1 11 1.00723734 0.00249656
1 1 0 1 1 12 1.00648927 0.00260236
1 1 0 1 1 13 1.00661258 0.00265895
1 1 0 1 1 14 1.00598535 0.00233096
1 1 0 1 1 15 1.00573840 0.00239727
1 1 0 1 1 16 1.00537829 0.00249295
1 1 0 1 1 17 1.00395826 0.00236086
